player,season,team,pos,age,minutos_totales,partidos_totales,minutos_por_partido,ws,per
Kevin Durant,2019,GSW,SF,30,"2702,0","78,0","34,6","11,5","24,2"
Paul Millsap,2019,DEN,PF,33,"1895,0","70,0","27,1","6,1","17,9"
Al Horford,2019,BOS,C,32,"1973,0","68,0","29,0","7,5","20,2"
Damian Lillard,2019,POR,PG,28,"2838,0","80,0","35,5","12,1","23,7"
DeMar DeRozan,2019,SAS,SG,29,"2688,0","77,0","34,9","6,3","19,6"
Otto Porter Jr.,2019,CHI,SF,25,"1683,0","56,0","30,1","3,2","15,9"
Jrue Holiday,2019,NOP,SG,28,"2402,0","67,0","35,9","5,4","19,4"
CJ McCollum,2019,POR,SG,27,"2375,0","70,0","33,9","5,6","17,0"
Joel Embiid,2019,PHI,C,24,"2154,0","64,0","33,7","8,7","26,1"
Andrew Wiggins,2019,MIN,SF,23,"2543,0","73,0","34,8","0,6","12,4"
Bradley Beal,2019,WAS,SG,25,"3028,0","82,0","36,9","7,6","20,8"
Anthony Davis,2019,NOP,C,25,"1850,0","56,0","33,0","9,5","30,3"
Andre Drummond,2019,DET,C,25,"2647,0","79,0","33,5","10,0","23,4"
Hassan Whiteside,2019,MIA,C,29,"1674,0","72,0","23,2","6,3","23,5"
Steven Adams,2019,OKC,C,25,"2669,0","80,0","33,4","9,1","18,5"
Giannis Antetokounmpo,2019,MIL,PF,24,"2358,0","72,0","32,8","14,4","30,9"
Marc Gasol,2019,TOR,C,34,"2436,0","79,0","30,8","6,0","16,7"
Kevin Love,2019,CLE,PF,30,"598,0","22,0","27,2","1,3","19,5"
Harrison Barnes,2019,SAC,PF-SF,26,"2533,0","77,0","32,9","3,6","12,8"
Chandler Parsons,2019,MEM,SF,30,"496,0","25,0","19,8","0,0","8,5"
Nicolas Batum,2019,CHO,SF,30,"2354,0","75,0","31,4","3,7","11,9"
Rudy Gobert,2019,UTA,C,26,"2577,0","81,0","31,8","14,4","24,6"
Kawhi Leonard,2019,TOR,SF,27,"2040,0","60,0","34,0","9,5","25,8"
DeAndre Jordan,2019,NYK,C,30,"2047,0","69,0","29,7","7,1","19,0"
LaMarcus Aldridge,2019,SAS,C,33,"2687,0","81,0","33,2","9,3","22,9"
Serge Ibaka,2019,TOR,C,29,"2010,0","74,0","27,2","6,1","18,7"
Aaron Gordon,2019,ORL,PF,23,"2633,0","78,0","33,8","5,1","15,1"
Danilo Gallinari,2019,LAC,SF,30,"2059,0","68,0","30,3","8,2","21,0"
Victor Oladipo,2019,IND,SG,26,"1147,0","36,0","31,9","2,3","17,6"
Jimmy Butler,2019,PHI,SF-SG,29,"2185,0","65,0","33,6","7,9","20,2"
Ryan Anderson,2019,MIA,PF,30,"322,0","25,0","12,9","-0,2","4,6"
Kyrie Irving,2019,BOS,PG,26,"2214,0","67,0","33,0","9,1","24,3"
Jabari Parker,2019,WAS,PF,23,"1724,0","64,0","26,9","1,4","15,5"
Zach LaVine,2019,CHI,SG,23,"2171,0","63,0","34,5","2,8","18,7"
Tyler Johnson,2019,PHO,PG,26,"1529,0","57,0","26,8","2,3","12,4"
Tim Hardaway Jr.,2019,DAL,SG,26,"2057,0","65,0","31,6","1,8","13,6"
John Wall,2019,WAS,PG,28,"1104,0","32,0","34,5","1,2","18,0"
George Hill,2019,MIL,PG,32,"1302,0","60,0","21,7","2,8","12,1"
Jeff Teague,2019,MIN,PG,30,"1264,0","42,0","30,1","2,2","15,4"
Klay Thompson,2019,GSW,SG,28,"2652,0","78,0","34,0","5,3","16,6"
Allen Crabbe,2019,BRK,SG,26,"1133,0","43,0","26,3","0,8","7,7"
Kent Bazemore,2019,ATL,SG,29,"1643,0","67,0","24,5","0,7","11,9"
Evan Turner,2019,POR,PG,30,"1605,0","73,0","22,0","2,0","11,6"
Draymond Green,2019,GSW,PF,28,"2065,0","66,0","31,3","4,3","12,9"
Tristan Thompson,2019,CLE,C,27,"1198,0","43,0","27,9","2,6","18,4"
Evan Fournier,2019,ORL,SG,26,"2553,0","81,0","31,5","3,2","12,3"
Reggie Jackson,2019,DET,PG,28,"2289,0","82,0","27,9","5,0","15,2"
Bismack Biyombo,2019,CHO,C,26,"783,0","54,0","14,5","2,0","14,4"
Derrick Favors,2019,UTA,C,27,"1766,0","76,0","23,2","7,9","21,8"
Gary Harris,2019,DEN,SG,24,"1639,0","57,0","28,8","2,6","12,2"
Andre Iguodala,2019,GSW,SF,35,"1578,0","68,0","23,2","4,2","13,1"
Ian Mahinmi,2019,WAS,C,32,"498,0","34,0","14,6","1,0","12,0"
DeMarre Carroll,2019,BRK,PF,32,"1703,0","67,0","25,4","3,1","12,1"
Gorgui Dieng,2019,MIN,C,29,"1031,0","76,0","13,6","2,8","18,1"
Eric Bledsoe,2019,MIL,PG,29,"2272,0","78,0","29,1","8,2","19,3"
Ricky Rubio,2019,UTA,PG,28,"1899,0","68,0","27,9","3,7","14,0"
Tobias Harris,2019,PHI,PF,26,"2847,0","82,0","34,7","7,1","17,2"
James Johnson,2019,MIA,PF,31,"1164,0","55,0","21,2","1,5","10,9"
Brandon Knight,2019,CLE,PG,27,"736,0","39,0","18,9","0,0","8,9"
Robin Lopez,2019,CHI,C,30,"1606,0","74,0","21,7","2,7","15,9"
Marvin Williams,2019,CHO,PF,32,"2133,0","75,0","28,4","3,8","12,6"
Taj Gibson,2019,MIN,PF,33,"1686,0","70,0","24,1","5,1","17,8"
Thaddeus Young,2019,IND,PF,30,"2489,0","81,0","30,7","6,9","16,2"
Clint Capela,2019,HOU,C,24,"2249,0","67,0","33,6","10,8","23,8"
Marcin Gortat,2019,LAC,C,34,"751,0","47,0","16,0","1,4","12,8"
Cody Zeller,2019,CHO,C,26,"1243,0","49,0","25,4","3,9","17,2"
Eric Gordon,2019,HOU,SG,30,"2158,0","68,0","31,7","2,6","12,2"
Joe Ingles,2019,UTA,PF,31,"2568,0","82,0","31,3","6,0","13,4"
Khris Middleton,2019,MIL,SF,27,"2393,0","77,0","31,1","6,1","16,5"
Michael Kidd-Gilchrist,2019,CHO,PF,25,"1179,0","64,0","18,4","2,5","13,3"
Mason Plumlee,2019,DEN,C,28,"1731,0","82,0","21,1","5,8","17,8"
Wilson Chandler,2019,LAC,PF-SF,31,"1177,0","51,0","23,1","1,5","8,5"
Kelly Olynyk,2019,MIA,PF,27,"1812,0","79,0","22,9","4,7","14,4"
Miles Plumlee,2019,ATL,C,30,"173,0","18,0","9,6","0,5","18,9"
Jordan Clarkson,2019,CLE,SG,26,"2214,0","81,0","27,3","1,8","16,8"
Tyreke Evans,2019,IND,SG,29,"1402,0","69,0","20,3","0,3","11,5"
Courtney Lee,2019,DAL,SG,33,"428,0","34,0","12,6","0,4","10,3"
Solomon Hill,2019,NOP,SF,27,"878,0","44,0","20,0","0,5","6,8"
Kentavious Caldwell-Pope,2019,LAL,SG,25,"2035,0","82,0","24,8","4,0","12,9"
Avery Bradley,2019,MEM,SG,28,"1905,0","63,0","30,2","0,3","7,6"
Kemba Walker,2019,CHO,PG,28,"2863,0","82,0","34,9","7,4","21,7"
Will Barton,2019,DEN,SF,28,"1189,0","43,0","27,7","1,2","11,0"
T.J. Warren,2019,PHO,SF,25,"1360,0","43,0","31,6","2,1","16,3"
Marcus Smart,2019,BOS,SG,24,"2200,0","80,0","27,5","5,3","13,1"
Patty Mills,2019,SAS,PG,30,"1908,0","82,0","23,3","3,5","13,2"
Dion Waiters,2019,MIA,SG,27,"1138,0","44,0","25,9","1,2","11,4"
Alec Burks,2019,SAC,SG,27,"1375,0","64,0","21,5","1,5","12,7"
John Henson,2019,MIL,C,28,"188,0","14,0","13,4","0,6","17,1"
Iman Shumpert,2019,HOU,SG,28,"1481,0","62,0","23,9","1,4","9,1"
Maurice Harkless,2019,POR,SF,25,"1415,0","60,0","23,6","3,4","13,2"
Tony Snell,2019,MIL,SF,27,"1304,0","74,0","17,6","3,2","10,7"
Meyers Leonard,2019,POR,C,26,"878,0","61,0","14,4","3,0","15,8"
Terrence Ross,2019,ORL,SG,27,"2150,0","81,0","26,5","4,3","15,4"
Robert Covington,2019,MIN,SF,28,"1203,0","35,0","34,4","2,5","13,3"
Rudy Gay,2019,SAS,PF,32,"1842,0","69,0","26,7","4,4","17,5"
Jon Leuer,2019,DET,PF,29,"402,0","41,0","9,8","0,9","13,2"
Danny Green,2019,TOR,SG,31,"2216,0","80,0","27,7","5,9","13,0"
Darren Collison,2019,IND,PG,31,"2143,0","76,0","28,2","6,8","16,7"
Dwight Powell,2019,DAL,C,27,"1662,0","77,0","21,6","7,5","20,4"
Matthew Dellavedova,2019,CLE,PG,28,"812,0","48,0","16,9","0,5","11,1"
Dante Exum,2019,UTA,PG,23,"664,0","42,0","15,8","1,0","11,2"
Jared Dudley,2019,BRK,PF,33,"1220,0","59,0","20,7","1,8","7,8"
Norman Powell,2019,TOR,SG,25,"1126,0","60,0","18,8","2,4","13,3"
Josh Richardson,2019,MIA,SG,25,"2539,0","73,0","34,8","5,6","14,0"
Rajon Rondo,2019,LAL,PG,32,"1369,0","46,0","29,8","1,3","12,1"
E'Twaun Moore,2019,NOP,SG,29,"1463,0","53,0","27,6","1,7","11,5"
Kosta Koufos,2019,SAC,C,29,"502,0","42,0","12,0","0,7","12,3"
Fred VanVleet,2019,TOR,PG,24,"1760,0","64,0","27,5","4,3","13,7"
Jerami Grant,2019,OKC,PF,24,"2612,0","80,0","32,6","7,3","13,8"
Kyle Anderson,2019,MEM,SF,25,"1281,0","43,0","29,8","2,7","12,8"
Julius Randle,2019,NOP,PF,24,"2232,0","73,0","30,6","6,1","20,9"
Jerryd Bayless,2019,MIN,PG,30,"657,0","34,0","19,3","0,0","8,5"
Markelle Fultz,2019,PHI,SG,20,"427,0","19,0","22,5","0,3","10,5"
C.J. Miles,2019,MEM,SF,31,"856,0","53,0","16,2","0,7","9,0"
Joe Harris,2019,BRK,SG,27,"2293,0","76,0","30,2","5,5","13,5"
Shaun Livingston,2019,GSW,PG,33,"967,0","64,0","15,1","2,0","11,7"
Garrett Temple,2019,LAC,SG,32,"2040,0","75,0","27,2","2,2","8,5"
Lou Williams,2019,LAC,SG,32,"1993,0","75,0","26,6","5,1","21,2"
P.J. Tucker,2019,HOU,PF,33,"2802,0","82,0","34,2","5,0","9,2"
Cory Joseph,2019,IND,PG,27,"2063,0","82,0","25,2","3,5","11,0"
Karl-Anthony Towns,2019,MIN,C,23,"2545,0","77,0","33,1","10,4","26,3"
JaMychal Green,2019,LAC,PF,28,"1371,0","65,0","21,1","2,9","14,7"
Kyle Korver,2019,UTA,SG-PF,37,"1334,0","70,0","19,1","2,3","11,2"
Jeremy Lamb,2019,CHO,SG,26,"2250,0","79,0","28,5","5,3","17,3"
Lonzo Ball,2019,LAL,PG,21,"1423,0","47,0","30,3","1,6","11,7"
Doug McDermott,2019,IND,SF,27,"1340,0","77,0","17,4","2,9","11,6"
Jae Crowder,2019,UTA,SF,28,"2166,0","80,0","27,1","4,4","12,1"
Marvin Bagley III,2019,SAC,PF,19,"1567,0","62,0","25,3","3,6","18,9"
Dewayne Dedmon,2019,ATL,C,29,"1609,0","64,0","25,1","4,0","16,0"
Lance Thomas,2019,NYK,PF,30,"783,0","46,0","17,0","0,1","6,4"
D'Angelo Russell,2019,BRK,PG,22,"2448,0","81,0","30,2","5,0","19,4"
Langston Galloway,2019,DET,SG,27,"1745,0","80,0","21,8","3,4","10,7"
Al-Farouq Aminu,2019,POR,PF,28,"2292,0","81,0","28,3","5,8","13,2"
Jayson Tatum,2019,BOS,SF,20,"2455,0","79,0","31,1","5,0","15,1"
Nemanja Bjelica,2019,SAC,PF,30,"1788,0","77,0","23,2","4,5","15,4"
Mario Hezonja,2019,NYK,SF,23,"1206,0","58,0","20,8","-0,1","10,8"
Ben Simmons,2019,PHI,PG,22,"2700,0","79,0","34,2","8,2","20,0"
Marco Belinelli,2019,SAS,SG,32,"1815,0","79,0","23,0","2,5","11,9"
Wesley Johnson,2019,WAS,SF,31,"534,0","38,0","14,1","0,0","5,5"
Josh Jackson,2019,PHO,SG,21,"1988,0","79,0","25,2","-1,7","10,6"
Jonathon Simmons,2019,PHI,SG-SF,29,"1064,0","56,0","19,0","0,3","8,5"
Ish Smith,2019,DET,PG,30,"1251,0","56,0","22,3","1,7","11,8"
Montrezl Harrell,2019,LAC,C,25,"2158,0","82,0","26,3","8,7","23,4"
Jaren Jackson Jr.,2019,MEM,PF,19,"1515,0","58,0","26,1","3,3","16,4"
Brandon Ingram,2019,LAL,SF,21,"1760,0","52,0","33,8","2,0","13,4"
De'Aaron Fox,2019,SAC,PG,21,"2546,0","81,0","31,4","5,6","18,1"
Ben McLemore,2019,SAC,SG,25,"158,0","19,0","8,3","0,2","10,5"
Patrick Patterson,2019,OKC,PF,29,"861,0","63,0","13,7","1,1","8,1"
Jason Smith,2019,NOP,PF-C,32,"190,0","20,0","9,5","0,2","9,8"
Trae Young,2019,ATL,PG,20,"2503,0","81,0","30,9","3,3","17,0"
DeMarcus Cousins,2019,GSW,C,28,"771,0","30,0","25,7","2,4","21,4"
Thabo Sefolosha,2019,UTA,SF,34,"609,0","50,0","12,2","1,5","12,1"
Aron Baynes,2019,BOS,C,32,"821,0","51,0","16,1","2,4","14,0"
Jaylen Brown,2019,BOS,SG,22,"1913,0","74,0","25,9","3,0","13,5"
Patrick Beverley,2019,LAC,PG,30,"2137,0","78,0","27,4","4,8","11,8"
Tony Parker,2019,CHO,PG,36,"1003,0","56,0","17,9","0,9","15,3"
Mike Muscala,2019,LAL,PF,27,"1306,0","64,0","20,4","2,5","10,8"
Dirk Nowitzki,2019,DAL,PF,40,"795,0","51,0","15,6","0,3","9,6"
Jonathan Isaac,2019,ORL,PF,21,"1996,0","75,0","26,6","4,0","13,0"
Mo Bamba,2019,ORL,C,20,"766,0","47,0","16,3","1,7","14,9"
Anthony Tolliver,2019,MIN,PF,33,"1079,0","65,0","16,6","1,2","8,6"
Willie Cauley-Stein,2019,SAC,C,25,"2213,0","81,0","27,3","6,7","18,0"
Dragan Bender,2019,PHO,PF,21,"826,0","46,0","18,0","0,5","9,5"
Lauri Markkanen,2019,CHI,PF,21,"1682,0","52,0","32,3","2,7","17,1"
Ed Davis,2019,BRK,C,29,"1446,0","81,0","17,9","5,7","17,3"
Kyle O'Quinn,2019,IND,C,28,"371,0","45,0","8,2","1,0","16,8"
Lance Stephenson,2019,LAL,SG,28,"1123,0","68,0","16,5","1,1","11,8"
Wendell Carter Jr.,2019,CHI,C,19,"1110,0","44,0","25,2","1,9","15,2"
Justin Holiday,2019,MEM,SG,29,"2607,0","82,0","31,8","2,1","10,0"
Alex Len,2019,ATL,C,25,"1544,0","77,0","20,1","3,2","17,2"
Mike Scott,2019,PHI,PF,30,"1395,0","79,0","17,7","1,6","8,6"
Emmanuel Mudiay,2019,NYK,PG,22,"1607,0","59,0","27,2","0,8","14,6"
Kris Dunn,2019,CHI,PG,24,"1389,0","46,0","30,2","0,6","12,4"
Frank Ntilikina,2019,NYK,PG,20,"904,0","43,0","21,0","-0,8","6,0"
Glenn Robinson III,2019,DET,SF,25,"610,0","47,0","13,0","0,7","8,7"
Collin Sexton,2019,CLE,PG,20,"2605,0","82,0","31,8","-0,6","12,0"
Stanley Johnson,2019,NOP,SF,22,"1208,0","66,0","18,3","0,5","9,6"
Buddy Hield,2019,SAC,SG,26,"2615,0","82,0","31,9","5,9","17,5"
Dennis Smith Jr.,2019,NYK,PG,21,"1508,0","53,0","28,5","0,0","12,3"
J.J. Barea,2019,DAL,PG,34,"752,0","38,0","19,8","1,0","16,3"
Zach Collins,2019,POR,C,21,"1356,0","77,0","17,6","2,9","13,5"
Frank Kaminsky,2019,CHO,C,25,"755,0","47,0","16,1","1,8","16,8"
Mikal Bridges,2019,PHO,SF,22,"2417,0","82,0","29,5","2,9","10,8"
Michael Beasley,2019,LAL,PF,30,"277,0","26,0","10,7","0,2","15,9"
Jamal Murray,2019,DEN,PG,21,"2447,0","75,0","32,6","5,1","16,0"
Rodney Hood,2019,POR,SG,26,"1893,0","72,0","26,3","2,6","12,3"
Justise Winslow,2019,MIA,SF,22,"1959,0","66,0","29,7","2,8","12,8"
Malik Monk,2019,CHO,SG,20,"1258,0","73,0","17,2","0,3","11,8"
Myles Turner,2019,IND,C,22,"2119,0","74,0","28,6","6,3","18,0"
Allonzo Trier,2019,NYK,SG,23,"1459,0","64,0","22,8","0,9","12,2"
Brook Lopez,2019,MIL,C,30,"2322,0","81,0","28,7","6,7","14,6"
Shai Gilgeous-Alexander,2019,LAC,PG,20,"2174,0","82,0","26,5","3,3","13,4"
Trey Lyles,2019,DEN,PF,23,"1120,0","64,0","17,5","1,2","12,7"
Ekpe Udoh,2019,UTA,C,31,"320,0","51,0","6,3","1,6","20,9"
Devin Booker,2019,PHO,SG,22,"2242,0","64,0","35,0","3,5","20,2"
Luke Kennard,2019,DET,SG,22,"1437,0","63,0","22,8","2,5","11,9"
Cameron Payne,2019,CLE,PG,24,"712,0","40,0","17,8","0,5","11,5"
Troy Daniels,2019,PHO,SG,27,"760,0","51,0","14,9","0,3","9,8"
Kelly Oubre Jr.,2019,PHO,SF,23,"1935,0","69,0","28,0","2,2","15,2"
Miles Bridges,2019,CHO,SF,20,"1696,0","80,0","21,2","2,9","13,1"
Marquese Chriss,2019,CLE,PF,21,"499,0","43,0","11,6","-0,2","9,2"
Bryn Forbes,2019,SAS,SG,25,"2293,0","82,0","28,0","3,8","12,0"
Donovan Mitchell,2019,UTA,SG,22,"2598,0","77,0","33,7","5,0","17,2"
Terry Rozier,2019,BOS,PG,24,"1791,0","79,0","22,7","3,2","12,9"
Jerome Robinson,2019,LAC,SG,21,"320,0","33,0","9,7","0,1","7,2"
Yogi Ferrell,2019,SAC,PG,25,"1067,0","71,0","15,0","1,9","12,7"
Elfrid Payton,2019,NOP,PG,24,"1250,0","42,0","29,8","1,5","14,0"
Bam Adebayo,2019,MIA,C,21,"1913,0","82,0","23,3","6,8","17,9"
Jakob Poeltl,2019,SAS,C,23,"1273,0","77,0","16,5","5,1","19,4"
Justin Jackson,2019,DAL,SF,23,"1614,0","81,0","19,9","2,9","11,3"
Thon Maker,2019,DET,C-PF,21,"972,0","64,0","15,2","2,0","11,3"
Seth Curry,2019,POR,SG,28,"1399,0","74,0","18,9","2,4","11,4"
Cedi Osman,2019,CLE,SF,23,"2444,0","76,0","32,2","1,5","11,5"
Sam Dekker,2019,WAS,PF,24,"788,0","47,0","16,8","1,0","13,3"
Troy Brown Jr.,2019,WAS,SF,19,"730,0","52,0","14,0","0,6","11,1"
Guerschon Yabusele,2019,BOS,PF,23,"251,0","41,0","6,1","0,5","12,4"
Domantas Sabonis,2019,IND,C,22,"1838,0","74,0","24,8","7,6","21,9"
Jerian Grant,2019,ORL,PG,26,"939,0","60,0","15,6","1,7","10,8"
Delon Wright,2019,MEM,PG,26,"1699,0","75,0","22,7","4,3","15,5"
D.J. Wilson,2019,MIL,PF,22,"882,0","48,0","18,4","1,7","10,3"
Taurean Prince,2019,ATL,SF,24,"1552,0","55,0","28,2","1,5","11,9"
Justin Anderson,2019,ATL,SF,25,"463,0","48,0","9,6","0,4","11,2"
Reggie Bullock,2019,LAL,SG,27,"1879,0","63,0","29,8","3,1","10,5"
Bobby Portis,2019,WAS,PF,23,"1299,0","50,0","26,0","1,6","16,1"
Dante Cunningham,2019,SAS,PF,31,"928,0","64,0","14,5","1,9","10,2"
Donte DiVincenzo,2019,MIL,SG,22,"411,0","27,0","15,2","0,6","9,1"
Rondae Hollis-Jefferson,2019,BRK,SF,24,"1234,0","59,0","20,9","1,2","12,5"
Tyus Jones,2019,MIN,PG,22,"1560,0","68,0","22,9","3,0","13,7"
Jarell Martin,2019,ORL,PF,24,"328,0","42,0","7,8","0,5","9,4"
T.J. Leaf,2019,IND,PF,21,"522,0","58,0","9,0","1,6","16,9"
Wayne Ellington,2019,DET,SG,31,"1297,0","53,0","24,5","2,6","11,8"
Lonnie Walker IV,2019,SAS,SG,20,"118,0","17,0","6,9","0,0","10,8"
John Collins,2019,ATL,PF,21,"1829,0","61,0","30,0","6,0","21,8"
Larry Nance Jr.,2019,CLE,C,26,"1795,0","67,0","26,8","4,9","18,6"
Kevin Huerter,2019,ATL,SG,20,"2048,0","75,0","27,3","1,5","10,1"
Darius Miller,2019,NOP,SF,28,"1757,0","69,0","25,5","1,6","8,4"
Josh Okogie,2019,MIN,SG,20,"1757,0","74,0","23,7","1,2","9,4"
Raul Neto,2019,UTA,PG,26,"474,0","37,0","12,8","1,1","13,5"
Terrance Ferguson,2019,OKC,SG,20,"1931,0","74,0","26,1","2,8","6,4"
Grayson Allen,2019,UTA,SG,23,"416,0","38,0","10,9","0,0","7,5"
OG Anunoby,2019,TOR,SF,21,"1352,0","67,0","20,2","2,0","9,8"
Jarrett Allen,2019,BRK,C,20,"2096,0","80,0","26,2","7,6","18,5"
Corey Brewer,2019,SAC,SF,32,"492,0","31,0","15,9","1,0","11,6"
Torrey Craig,2019,DEN,SF,28,"1503,0","75,0","20,0","3,0","10,4"
Chandler Hutchison,2019,CHI,SF,22,"895,0","44,0","20,3","0,6","8,8"
Shabazz Napier,2019,BRK,PG,27,"983,0","56,0","17,6","2,0","15,3"
Aaron Holiday,2019,IND,PG,22,"646,0","50,0","12,9","0,9","11,9"
Tyler Lydon,2019,DEN,PF,22,"94,0","25,0","3,8","0,2","9,3"
Trey Burke,2019,DAL,PG,26,"1125,0","58,0","19,4","1,9","16,5"
Malik Beasley,2019,DEN,SG,22,"1879,0","81,0","23,2","4,5","14,2"
Moritz Wagner,2019,LAL,C,21,"446,0","43,0","10,4","0,2","10,1"
Anfernee Simons,2019,POR,SG,19,"141,0","20,0","7,0","0,1","11,1"
Nerlens Noel,2019,OKC,C,24,"1055,0","77,0","13,7","4,3","19,3"
Caleb Swanigan,2019,SAC,PF,21,"178,0","21,0","8,5","-0,2","4,7"
Furkan Korkmaz,2019,PHI,SG,21,"679,0","48,0","14,1","1,1","11,5"
Landry Shamet,2019,LAC,SG,21,"1802,0","79,0","22,8","3,6","11,0"
Caris LeVert,2019,BRK,SF,24,"1063,0","40,0","26,6","1,7","14,9"
Jonah Bolden,2019,PHI,PF,23,"639,0","44,0","14,5","1,4","12,7"
Kyle Kuzma,2019,LAL,PF,23,"2314,0","70,0","33,1","3,1","14,0"
Derrick White,2019,SAS,PG,24,"1728,0","67,0","25,8","3,6","14,8"
Spencer Dinwiddie,2019,BRK,PG,25,"1914,0","68,0","28,1","4,8","16,3"
MarShon Brooks,2019,MEM,SG,30,"387,0","29,0","13,3","0,1","11,6"
Josh Hart,2019,LAL,SG,23,"1715,0","67,0","25,6","2,1","9,3"
Jacob Evans,2019,GSW,SG,21,"204,0","30,0","6,8","-0,1","3,5"
Pat Connaughton,2019,MIL,SG,26,"1261,0","61,0","20,7","3,9","13,6"
DeAndre' Bembry,2019,ATL,SG,24,"1931,0","82,0","23,5","0,9","10,8"
James Ennis III,2019,PHI,SF,28,"1230,0","58,0","21,2","2,6","11,0"
Omari Spellman,2019,ATL,PF,21,"805,0","46,0","17,5","1,2","12,4"
Luke Kornet,2019,NYK,PF,23,"784,0","46,0","17,0","1,4","14,8"
Rodions Kurucs,2019,BRK,SF,20,"1294,0","63,0","20,5","1,6","11,0"
Richaun Holmes,2019,PHO,C,25,"1184,0","70,0","16,9","4,3","20,7"
T.J. McConnell,2019,PHI,PG,26,"1470,0","76,0","19,3","2,9","13,4"
Malachi Richardson,2019,TOR,SG,23,"103,0","22,0","4,7","-0,1","0,9"
Jahlil Okafor,2019,NOP,C,23,"935,0","59,0","15,8","2,2","17,9"
Pascal Siakam,2019,TOR,PF,24,"2548,0","80,0","31,8","9,3","18,7"
Cheick Diallo,2019,NOP,PF,22,"896,0","64,0","14,0","2,6","17,5"
Jake Layman,2019,POR,SF,24,"1327,0","71,0","18,7","3,1","13,5"
Quinn Cook,2019,GSW,PG,25,"1059,0","74,0","14,3","1,8","13,1"
Ivica Zubac,2019,LAC,C,21,"1040,0","59,0","17,6","3,2","18,9"
Rodney McGruder,2019,MIA,SG,27,"1550,0","66,0","23,5","1,9","9,4"
Malcolm Brogdon,2019,MIL,SG,26,"1832,0","64,0","28,6","6,5","17,8"
Andrew Harrison,2019,NOP,PG,24,"187,0","17,0","11,0","-0,1","5,8"
Dorian Finney-Smith,2019,DAL,SF,25,"1985,0","81,0","24,5","3,3","11,0"
Wayne Selden,2019,CHI,SG,24,"1439,0","75,0","19,2","-0,3","8,3"
Damian Jones,2019,GSW,C,23,"410,0","24,0","17,1","1,5","15,3"
Alex Poythress,2019,ATL,PF,25,"305,0","21,0","14,5","0,5","12,2"
Shelvin Mack,2019,CHO,PG,28,"1246,0","57,0","21,9","0,9","10,4"
Omri Casspi,2019,MEM,SF,30,"520,0","36,0","14,4","1,3","15,7"
Georges Niang,2019,UTA,PF,25,"516,0","59,0","8,7","1,3","13,0"
Raymond Felton,2019,OKC,PG,34,"379,0","33,0","11,5","0,7","11,2"
Quincy Pondexter,2019,SAS,SF,30,"292,0","53,0","5,5","0,8","13,2"
Troy Williams,2019,SAC,SF,24,"312,0","21,0","14,9","0,4","10,5"
Carmelo Anthony,2019,HOU,PF,34,"294,0","10,0","29,4","0,3","10,9"
Amir Johnson,2019,PHI,C,31,"529,0","51,0","10,4","1,1","13,1"
David Nwaba,2019,CLE,SF,26,"984,0","51,0","19,3","1,4","12,5"
Jamal Crawford,2019,PHO,SG,38,"1211,0","64,0","18,9","0,2","11,7"
Luol Deng,2019,MIN,SF,33,"392,0","22,0","17,8","0,8","14,6"
Isaiah Canaan,2019,MIL,PG,27,"629,0","30,0","21,0","0,1","8,0"
Derrick Jones Jr.,2019,MIA,SF,21,"1153,0","60,0","19,2","2,9","14,0"
Udonis Haslem,2019,MIA,C,38,"74,0","10,0","7,4","-0,1","3,6"
Dwyane Wade,2019,MIA,SG,37,"1885,0","72,0","26,2","2,4","15,8"
JaVale McGee,2019,LAL,C,31,"1671,0","75,0","22,3","5,9","21,8"
Isaiah Thomas,2019,DEN,SG,29,"181,0","12,0","15,1","-0,3","7,0"
Jeff Green,2019,WAS,PF,32,"2097,0","77,0","27,2","3,6","13,6"
Kevon Looney,2019,GSW,C,22,"1481,0","80,0","18,5","6,0","17,3"
Jonas Jerebko,2019,GSW,PF,31,"1218,0","73,0","16,7","3,3","13,5"
Christian Wood,2019,NOP,PF,23,"251,0","21,0","12,0","0,8","21,9"
Derrick Rose,2019,MIN,PG,30,"1392,0","51,0","27,3","3,0","19,5"
Zaza Pachulia,2019,DET,C,34,"878,0","68,0","12,9","2,3","13,7"
Noah Vonleh,2019,NYK,PF,23,"1722,0","68,0","25,3","3,2","13,9"
Gerald Green,2019,HOU,SG,33,"1473,0","73,0","20,2","1,9","11,4"
Devin Harris,2019,DAL,PG,35,"1071,0","68,0","15,8","1,5","10,7"
Channing Frye,2019,CLE,C,35,"341,0","36,0","9,5","0,1","8,9"
Ian Clark,2019,NOP,SG,27,"973,0","60,0","16,2","-0,1","8,3"
Treveon Graham,2019,BRK,SG,25,"715,0","35,0","20,4","0,5","6,1"
Vince Carter,2019,ATL,PF,42,"1330,0","76,0","17,5","1,9","11,8"
Mitchell Robinson,2019,NYK,C,20,"1360,0","66,0","20,6","6,1","22,0"
Tyler Dorsey,2019,MEM,SG,22,"698,0","48,0","14,5","0,6","11,2"
Dillon Brooks,2019,MEM,SF,23,"330,0","18,0","18,3","0,0","7,6"
Thomas Bryant,2019,WAS,C,21,"1496,0","72,0","20,8","5,6","21,0"
Royce O'Neale,2019,UTA,SF,25,"1671,0","82,0","20,4","3,3","9,0"
Abdel Nader,2019,OKC,SF,25,"694,0","61,0","11,4","0,9","8,8"
