player,season,team,pos,age,minutos_totales,partidos_totales,minutos_por_partido,ws,per
Jameer Nelson,2011,ORL,PG,28,"2319,0","76,0","30,5","6,6","15,4"
Luis Scola,2011,HOU,PF,30,"2412,0","74,0","32,6","5,5","18,4"
Joel Przybilla,2011,CHA,C,31,"519,0","36,0","14,4","0,5","6,2"
Paul Millsap,2011,UTA,PF,25,"2605,0","76,0","34,3","7,7","19,8"
Shane Battier,2011,MEM,SF,32,"2375,0","82,0","29,0","5,1","12,3"
Andre Miller,2011,POR,PG,34,"2650,0","81,0","32,7","7,0","17,8"
Marvin Williams,2011,ATL,SF,24,"1865,0","65,0","28,7","4,0","13,5"
Dan Gadzuric,2011,NJN,C-PF,32,"463,0","42,0","11,0","0,1","9,9"
James Posey,2011,IND,SF,34,"839,0","49,0","17,1","1,0","7,5"
Leandro Barbosa,2011,TOR,SG,28,"1395,0","58,0","24,1","1,5","15,3"
Shawn Marion,2011,DAL,SF,32,"2253,0","80,0","28,2","5,6","17,0"
Charlie Villanueva,2011,DET,PF,26,"1666,0","76,0","21,9","3,1","15,9"
Raymond Felton,2011,DEN,PG-SG,26,"2737,0","75,0","36,5","5,4","16,6"
Travis Outlaw,2011,NJN,SF,26,"2358,0","82,0","28,8","0,8","8,8"
Brendan Haywood,2011,DAL,C,31,"1331,0","72,0","18,5","2,9","11,7"
Nazr Mohammed,2011,OKC,C,33,"1280,0","75,0","17,1","2,7","15,9"
Kendrick Perkins,2011,OKC,C,26,"742,0","29,0","25,6","1,0","9,6"
Jeff Foster,2011,IND,C,34,"940,0","56,0","16,8","3,0","14,3"
Jason Kapono,2011,PHI,SF,29,"112,0","24,0","4,7","-0,2","1,6"
Tyrus Thomas,2011,CHA,C,24,"861,0","41,0","21,0","1,8","18,2"
Josh Childress,2011,PHO,SG,27,"894,0","54,0","16,6","1,4","13,0"
Beno Udrih,2011,SAC,PG,28,"2734,0","79,0","34,6","7,2","15,7"
DeSagana Diop,2011,CHA,C,29,"181,0","16,0","11,3","-0,1","5,4"
Metta World Peace,2011,LAL,SF,31,"2410,0","82,0","29,4","4,4","11,2"
Marcin Gortat,2011,PHO,C,26,"2032,0","80,0","25,4","6,4","17,8"
Kevin Durant,2011,OKC,SF,22,"3038,0","78,0","38,9","12,0","23,6"
Andray Blatche,2011,WAS,PF,24,"2172,0","64,0","33,9","2,4","16,9"
Drew Gooden,2011,MIL,PF,29,"860,0","35,0","24,6","1,8","15,9"
Al Harrington,2011,DEN,PF,30,"1665,0","73,0","22,8","2,1","12,3"
Wesley Matthews,2011,POR,SG,24,"2758,0","82,0","33,6","7,2","15,5"
Jermaine O'Neal,2011,BOS,C,32,"431,0","24,0","18,0","0,6","9,2"
Kyle Lowry,2011,HOU,PG,24,"2563,0","75,0","34,2","7,0","16,5"
Derrick Rose,2011,CHI,PG,22,"3026,0","81,0","37,4","13,1","23,5"
Al Horford,2011,ATL,C,24,"2704,0","77,0","35,1","10,1","20,7"
